system,snr_db,f1
CRNN raw,-5.0,0.9260442372034579
CRNN raw,0.0,0.9464144878796447
CRNN raw,5.0,0.957088279098032
CRNN raw,10.0,0.9646708850684496
CRNN raw,15.0,0.9680755842864247
CRNN raw,20.0,0.9703556035018469
CRNN + post,-5.0,0.9315981942447857
CRNN + post,0.0,0.952109826016228
CRNN + post,5.0,0.961440407903123
CRNN + post,10.0,0.9690083158119722
CRNN + post,15.0,0.9718325252364677
CRNN + post,20.0,0.9738855655146372
Energy,-5.0,0.916441656438929
Energy,0.0,0.9172884440400364
Energy,5.0,0.9173353712902815
Energy,10.0,0.9180229437505117
Energy,15.0,0.9191167354660373
Energy,20.0,0.9238612208066459
Silero,-5.0,0.912813677961532
Silero,0.0,0.9502447262355361
Silero,5.0,0.9663799084896918
Silero,10.0,0.9690035365092573
Silero,15.0,0.9720281415611681
Silero,20.0,0.9738167609573535
